X1 wind speed,X2 area temp,X3 resistance,Y generator temp
10,14.61594864,1172.554732,33.89167736
120.8534612,15.80300182,1172.554732,34.04888375
10,15.43883261,1172.554732,34.12728314
10,14.65908043,1172.554732,34.13659561
10,15.47638373,1172.554732,34.16101554
10.12912238,14.28679704,5.1167692,34.21429715
10,15.55578148,1172.554732,34.21722519
10,14.49313307,1172.554732,34.22035769
10,18.093236,1172.554732,34.22908354
-201.6988227,12.84652818,1172.554732,34.23277908
10,13.55627689,1172.554732,34.25947377
10,12.81253326,1172.554732,34.26575759
10,14.16920265,2003.174957,34.28848341
10,12.4199713,1172.554732,34.35007824
10,17.6581285,1172.554732,34.35629988
10.13183665,13.34080007,2264.69287,34.36679827
10,14.82594995,1172.554732,34.40000948
10,15.62396541,1172.554732,34.40126953
10.11993359,17.42908451,1161.912088,34.41144698
10,12.89378608,1172.554732,34.41422806
10,19.14195105,1172.554732,34.45095136
10,14.85767085,1172.554732,34.49637497
10.11278249,14.21677044,1162.980945,34.50048199
10,12.89369796,1172.554732,34.50163014
-129.1958816,12.59885584,1163.677695,34.50296239
-102.4870759,14.11231218,1161.320196,34.5104337
10,14.62303843,1172.554732,34.52004933
10,17.99346984,349.3056033,34.52169127
10,15.44174237,1172.554732,34.53152387
10,13.42329757,1172.554732,34.57082854
10,16.89651239,1172.554732,34.59785076
10,17.56238877,1172.554732,34.6171781
10,16.69689412,1172.554732,34.63653233
10.09543942,14.49923332,1163.973964,34.64255733
170.6749461,13.0408821,1164.174645,34.67904634
10,15.91432976,1172.554732,34.68773154
10.10068145,15.68234678,1163.302236,34.70229257
122.2811798,17.5894137,1172.554732,34.72732278
10.11525661,15.81502306,194.6246448,34.74814275
10,18.0883273,1172.554732,34.7505586
195.2931636,13.70580123,1164.298677,34.75424494
10,15.14970146,1172.554732,34.77107018
203.0472743,15.90051509,1161.938311,34.77953388
10,17.90263539,1172.554732,34.7937957
10,18.85564611,1172.554732,34.80594461
10,16.62614068,1172.554732,34.9352303
10,19.27978288,1172.554732,34.9455917
10.13046084,14.70875377,1163.780389,34.94938625
10.12300911,17.60359469,1162.269452,34.9528331
10.09193037,15.61860555,2161.691492,35.00284988
10,17.98091901,1172.554732,35.04883483
10.10673014,13.54548526,1163.083701,35.05234944
10.12015781,14.22401352,1162.592716,35.13658114
10.14953801,25.61763906,1161.720412,35.22135012
147.6538463,23.73447333,1164.125625,35.35395616
10.10048084,20.87214566,260.0408677,35.3620586
10.14767594,27.25007347,1163.093062,35.5045518
119.1000817,16.2987658,-99,35.53505361
10.11508739,18.46097041,1160.921886,35.68558132
10.11561272,23.67025583,1163.458817,35.6920982
10.09236611,19.06677875,1162.893549,35.81280131
200.6782381,24.88997206,1163.139568,36.00541634
149.0908471,26.76932108,1164.933377,36.00842405
10.09421463,22.42346576,1165.795982,36.05283327
10.12706317,18.36661883,1165.825935,36.09273757
10.11784095,20.12788618,1165.523264,36.11060125
10.13497979,26.01650981,1162.173537,36.14010072
10.13117749,21.92961395,1164.639828,36.14470173
-195.7853483,14.6444282,1203.492914,36.14913686
10.10637472,31.97040814,1164.465299,36.17659856
10.12294251,20.76861159,1165.44087,36.21963872
10.11543944,18.74188492,1165.000554,36.26095407
10.13275999,21.87697816,1165.197712,36.27044773
10.13321555,26.85305742,1163.87409,36.28840119
10.10532325,22.04996465,1164.826054,36.30117458
10.10519101,22.7348975,1166.324521,36.30160294
-130.6540757,22.72157203,1165.88808,36.30416056
-196.1747408,24.57617962,1165.558386,36.41211355
10.10925583,27.0658604,1163.565906,36.4215238
10.11578363,20.05139905,1164.990106,36.42631323
10.12084153,22.20315164,3136.703702,36.42728613
11.88075804,24.37343527,1188.074019,36.43358919
10.1050571,22.63791865,1161.173725,36.43494191
10.13562545,22.90246512,1164.666811,36.47176155
10.1285448,28.60314854,1163.842414,36.4753572
10.10636812,19.64287515,1166.007489,36.48205283
10.12358899,27.60340008,1163.523975,36.48224555
10.11900272,24.25735317,1164.938495,36.4865077
10.09317465,24.96563457,1164.84429,36.5008284
10.12485242,29.99196841,1163.607665,36.50487081
10.10282206,21.40702109,1165.671804,36.5200193
10.11519265,21.61417331,1165.959325,36.55110824
10.13182131,27.33503197,1162.664187,36.55453765
119.7175447,21.40050866,1165.050967,36.57286626
11.60902188,20.93120294,1185.824111,36.57644297
10.09954179,21.29664431,1164.950435,36.58451226
10.08236928,31.38717324,1163.977858,36.59959389
10.10429233,32.31524772,1163.327045,36.60829576
